20021|013131711250011|TE5301|C|2.0|TE 3013|3
20021|013131711250011|TE3317|C|2.0|TE 2172|2
20021|013131711250011|TE3316|C|2.0|TE 2262|2
20021|013131711250011|TE3218|B|3.0|TE 2183|3
20021|013131711250011|TE3206|C|2.0|TE 2062|2
20021|013131711250011|TE2222|B|3.0|TE 1221|1
20021|013131711250011|TE2214|B|3.0|TE 1142|2
20021|013131711250011|TE2201|C|2.0|TE 1013|3
20021|013131711250011|TE3208|B|3.0|TE 2083|3
20021|013131711250012|TE3208|B|3.0|TE 2083|3
20021|013131711250012|TE3316|C|2.0|TE 2262|2
20021|013131711250012|TE3317|C|2.0|TE 2172|2
20021|013131711250012|TE3218|B|3.0|TE 2183|3
20021|013131711250012|TE3203|C|2.0|TE 2032|2
20021|013131711250012|TE2222|B|3.0|TE 1221|1
20021|013131711250012|TE5301|B|3.0|TE 3013|3
20021|013131711250012|TE2214|B|3.0|TE 1142|2
20021|013131711250012|TE2201|C|2.0|TE 1013|3
20021|013131711250012|TE3206|C|2.0|TE 2062|2
20021|013131711250013|TE3317|C|2.0|TE 2172|2
20021|013131711250013|TE5301|C|2.0|TE 3013|3
20021|013131711250013|TE3316|B|3.0|TE 2262|2
20021|013131711250013|TE3218|B|3.0|TE 2183|3
20021|013131711250013|TE3206|B|3.0|TE 2062|2
20021|013131711250013|TE3203|B|3.0|TE 2032|2
20021|013131711250013|TE2214|B|3.0|TE 1142|2
20021|013131711250013|TE2201|A|4.0|TE 1013|3
20021|013131711250013|TE3208|B|3.0|TE 2083|3
20021|013131711250014|TE3206|B|3.0|TE 2062|2
20021|013131711250014|TE5301|B|3.0|TE 3013|3
20021|013131711250014|TE3317|C|2.0|TE 2172|2
20021|013131711250014|TE3316|C|2.0|TE 2262|2
20021|013131711250014|TE2201|C|2.0|TE 1013|3
20021|013131711250014|TE3208|B|3.0|TE 2083|3
20021|013131711250014|TE3203|B|3.0|TE 2032|2
20021|013131711250014|TE2214|B|3.0|TE 1142|2
20021|013131711250014|TE3218|C|2.0|TE 2183|3
20021|013131711250015|TE3208|B|3.0|TE 2083|3
20021|013131711250015|TE3317|C|2.0|TE 2172|2
20021|013131711250015|TE5301|C|2.0|TE 3013|3
20021|013131711250015|TE3218|B|3.0|TE 2183|3
20021|013131711250015|TE3203|C|2.0|TE 2032|2
20021|013131711250015|TE2222|B|3.0|TE 1221|1
20021|013131711250015|TE2214|B|3.0|TE 1142|2
20021|013131711250015|TE2201|C|2.0|TE 1013|3
20021|013131711250015|TE3316|C|2.0|TE 2262|2
20021|013131711250015|TE3206|C|2.0|TE 2062|2
20021|013131711250018|TE3218|C|2.0|TE 2183|3
20021|013131711250018|TE7333|C|2.0|TE 4332|2
20021|013131711250018|TE6328|C|2.0|TE 3282|2
20021|013131711250018|TE6306|B|3.0|TE 3063|3
20021|013131711250018|TE5305|C|2.0|TE 3052|2
20021|013131711250018|TE3317|C|2.0|TE 2172|2
20021|013131711250018|TE3208|C|2.0|TE 2083|3
20021|013131711250018|TE3206|B|3.0|TE 2062|2
20021|013131711250018|TE3203|B|3.0|TE 2032|2
20021|013131711250018|TE4311|B|3.0|TE 2112|2
20021|013131711250019|TE4311|B|3.0|TE 2112|2
20021|013131711250019|TE6328|C|2.0|TE 3282|2
20021|013131711250019|TE7333|C|2.0|TE 4332|2
20021|013131711250019|TE6306|C|2.0|TE 3063|3
20021|013131711250019|TE5305|B|3.0|TE 3052|2
20021|013131711250019|TE3218|C|2.0|TE 2183|3
